tweet_id,tweet_text,sarcasm_type
1090351571395899392,good times fun times here in grand old britannia,0
1048898215662297088,looks like the leagues heading to the reds then,3
100010647806427136,st tweet: the central division is far from over gordonbeckham for a gold glove rios - tonight twins,2
1088176696283619336,always nice to be forgotten about,0
958123047923437569,yet despite this your fearless hero will nevertheless press on and watch the second film when he next gets the chance,3
881575283811381249,first time driving since passing my test and my p plates flew off great start,0
1022449156659589120,carterguiney waynemardle fucking hell is it,2
1078732769298182145,i my dad,3
420289727778934784,nick griffin declared bankrupt what a shame,3
969999311529500674,love getting a tour of the north west on rail replacement buses,0
1020638805634822144,was asked if i wanted my drink in a pint glass or a lady glass dissapointed as the glass wasnt pink sparkly or,0
1087787147011215361,whats it like being that stupid no im seriously asking do you have awards hanging for your ignorance my niece,3
1078665402132123648,apparently i lost weight over break i guess that means i just need to eat more christmas cookies year round,0
1135165533807087616,just your standard minute long cover #dropthepressure #flashcassette #mylo,3
1165533415439032321,people that start construction work before am on a sunday need to just fuck off and die thanks,3
1111718945608921088,happy bwexit day #fuckit,0
1068208434816970752,rachelsmithx haha i've been looking for a way to put on weight,0
1013411024987459584,wow what a first lap - plenty of action and no accidents #bbcf,0
1147842925943877632,if someone disagrees with you block them is that the twitter mantra (yes im still new here),2
1002654111286906882,plugged in charging but not moving from yeah thanks laptop not like i need to do any work or anything,3
1169698124098605056,great get to go to a million pull-a-parts for a fucking switch for our envoy,0
851520173471404033,great one,3
525080807590076416,sure i didn't want to sleep anyway like,0
1166845199248760842,joecrocker argusicraig right because thats the biggest priority right nowclearly,0
1134696338246045696,how is it june when christmas was a week and a half ago government manipulating us again smh,0
1044722118011887616,theracuk great service my wife is still waiting for you to turn up hrs minutes and counting,3
395917836993847297,thundersruck i love me some wnba,0
1037891209795182593,tune in to see old refs throw flags on the ground there is a football game mixed in between as well,1
1067923961625874433,yall really laying next to a man that aint chocolate tragic,3
1155698435154219009,happy about the new terribly acted terribly written terribly shot new sci-fi netflix show about aliens with made up science,3
1105644608900526080,deusbolt not to be rude but fuck you,3
1121426247282720770,i can't wait for the presidential election to be between two old white dudes,0
999882959984340992,someone dies and suddenly everyone wants to suck them off,3
873747846431989760,gotta love seeing am for the th day running #insomnia #ineedtostockpilemysleep #gettingreadyforthenextfewmonths,0
997232304870318081,ending part of your video accusing someone of assaulting you with likes for part seems really legit and not at all fucked up,3
1170441930997678082,youtube's processing system is an absolute mystery to me it zooms through the processing on an unedited vod but ge,3
1117226723005870080,my guess is the twitter algorithms just hate me,3
1155894920772804608,i love mondays (not sarcasm),0
1147160856901365763,your -minute timer has weeks days hours minutes and seconds remaining thanks #googlehome,3
1135183648506953728,science may yet produce an answer to anne widdecombe #lgbt #annewiddecombe,3
958814258745217024,beautiful day,0
917384833780895751,my coworkers didnt tell me that today was skip day and now im alone at work,3
1092801678271807489,another easy point for west ham v liverpool,0
1169559663408533504,morningjoe lol i see u have your resident race baiter esglaude on today where is your unbiased historian,3
1134605563806007301,dianatourjee sadly all of my binders are in the wash so the subversive shirtless photo is out if you're not too,3
980517427942477824,#everyrealhousewifeneeds a househusband to 'help out',0
1107826928621359108,me in the very begining stages of creating one () piece of merch: yeah what cons are coming up near nyc i should def table,0
896413165264801792,about to hit the studio with my man richchigga,3
1169763016465928192,ericworden ign sony yup that m box office for venom is rough,0
1148753832383569921,ahhh the anti-trans lot are showing themselves to be very caring and thoughtful again i see,3
1111382064312418304,the only thing ive learned in college is that college is a scam,3
728392247172018176,ellabrobella this is the sort of high-quality content that i followed you for keep up the good work,3
1148100338676916224,i love shopping at walmart late at night there's nothing more entertaining than the people of walmart ;),0
901590771740033024,still #mayweather or #mcgregor place your bets,4
1167333900798050305,i'm so proud that i found my butterbeer mug from harry potter world in for this whiskey feel like a legit the,0
1164301219977977869,mrbeastyt proud to be part of the,3
1139002736119123969,so ice cream's supposed to be a drink right,2
1153863450407428096,nowt worse than people on #prolific who set their surveys to desktop only gr now i have to find my laptop and,3
1154868566174269440,some old man told me at work that he knows im montanan cause i say yup you heard it here first you can only sa,4
1147368759616843777,#singlebecause ill never find a man i love as much as brian mccann,0
573560218807742464,walk from iowa to nebraska only took minutes #jacks,1
1148329939894231041,boy o love being forever in debt thanks predatory lending,3
1001958071781019648,we invite you to become a part of spain,4
1131233830637936640,fun fact: tails loves cock and ball torture #themoreyouknow #funfact #sonic,0
1102768280186638338,i cant find my earbuds anywhere please kill me,1
1150971867869528065,trying to get excited for biden to win the nomination by watching handmaids tale,3
1094871934595203073,love that i finally left my house early to get to uni well before i need to until i realise i forgot my bus pass and locker key :))),0
736268690694381568,just earned bounts for being fit and healthy start earning now #bounts #jointhepros,0
1063011112818479105,see brexit is going well,0
1115467941045256192,great now i have a fractured rib \()/ my life is falling apart,0
809200415052951553,talents: making a joke of myself by crying in front of class,0
1157267274849562624,thrilled to announce that no one wants to touch the new phones we got at work or go to the training session igno,3
1095204237129203712,true rebellion in college is taking more than the recommended dosage of gummy vitamins,0
1035289326853214209,adulthood is basically just flirting your way to a cheaper oil change,0
1362876327,i hate cars,0
1150283640200454144,do i get a girl scout badge for getting punched in the tit by some raging dude wearing sunglasses in the pit of a basement hip hop show,2
515335156790726656,new diet idea: eat nothing but vegetable lo mein if it isn't lo mein don't bother,0
800092986562355200,so i'm currently stuck in an automatic revolving door,0
1007747766968254470,i love when vzwsupport charges a fee you were told would be waived twice,3
1100905730398248961,mm breathing in dust as i clean out stuff my favorite,0
1152744737163620352,i didn't know eds were contagious,3
984999118438391809,#siria at least we didn't attack syria crisis averted,3
1130650191625957377,hello twitter #myfirsttweet,0
636084194670608388,yams are good for ducks with giant breasts with vitamin a deficiencies,0
1170855124413177856,i love nfl ties,0
1146901940921622528,no offense going to ace midwest and meeting tom holland would actually suck,0
1135793596727271424,i curse the fact that that shit meme makes me laugh everytime,1
266035089681559552,well americans prepare to downgrade your house again soon you will be living in a box,1
1164645581416828928,dyrssb : pikachu melee: pikachu brawl: pikachu pm: pikachu s: pikachu ult: pikachu oh and did i mention tha,2
208259133273673730,peterfacinelli kids and horse poonothing better,0
1161913554280374272,seanjonesqc we should all be more tolerant ban all free speech that we don't like and burn books containing 'hate,3
1149760983943897088,proves that footballmanager really is a real-life football simulator #nufc,0
1033181807662039040,rantmaddie but that's just like real life,3
1168282714006532097,love it when youre at a meal and your boyfriend brings up an embarrassing time in front of your parents so you go,0
122097497119264768,maxtalbot dear max talbotyou are wearing the wrong uniform tonight but i still love you anyway sincerely not a flyers fan,3
1138187269628735488,i love being an anxious mess,0
1168469712973512704,it's been fascinating watching an entire generation of nerds try to characterize their depression as a cultural mov,3
1139184271053033472,are we not even eligible to know what happened to this proposed bill is this kept aside due to external pressures,2
573264313294704643,gotta love insomnia knackered all day gets to a reasonable time to sleep and wide awake fuck off soon please,0
927668780544733185,i don't care how irritating someone is being you should never throw your drink on them alcohol wastage is just unacceptable #rhocheshire,0
567724409499435008,accidentally went to a funeral today,0
982025814656110592,we hit likes you guys are amazing shawnabner dayrts gridcorerts alienrts,3
1079890184236421120,new year new me,3
1043605496429785089,would just like to thank ups for leaving my irreplaceable pre-release book from a publisher out in the pouring rai,3
1047454308080517120,spooky season is sure off to a spooky start,5
871004406422097920,no magic money tree for nurses but there is one for mps convenient,3
1002159437786820608,the importance of being idle oasis explains a lot,3
1080573198259892225,is it okay to be a little selfish this year,2
1086923834312323074,tim lovejoy looks absolutely ancient his beard must be trying to compensate for the lack of hair on his head,3
1035509639310454784,peak london yummy mummy has been achieved in crystal palace - why wouldn't you hang s is for sour dough on your bab,2
537717856721723392,arsenal players injured in a match that's unheard of #bbcfootball,0
546306135809331200,wrapping presents and watching showgirls so festive,0
1088127357603459072,officially been blocked from ever giving blood again after i fainted once even though im a regular donor with no,3
1070454373187289088,legitluke timweiser davidhogg that's cute his dad makes him rich and he files bankruptcy a few times and,3
1082473671413911553,lil wayne got dressed in the dark #cfpnationalchampionship,2
1083929258152640512,whos a better actor tom hanks or buzz aldrin #nasa,2
1087108298631872517,joetiburzi matthewcoller so they should just run it every play then right,4
943977094224236544,gotta love people who follow you and unfollow because you don't follow them within in an hour or sorry i don't stay on twitter /,3
879102475617402881,#glastonbury edsheeran not sure about es-talented but could be listening to one of his albums plenty of backing track action going on,4
968541292916625413,i can hear my mum bitching about me from the kitchen i love my liiife,3
1070116626811506688,i am shocked that police would gun an innocent black man down in broad daylight by firing at him while he runs aw,3
957341928131121157,good job liverpool signed vvd to sort out their defence isn't it,3
880185666881163264,#qricketlive i could not live without ketchup,1
1091163912115048449,thanks freezing rain i just wanted some mcdonalds very cool,3
1087728190318100481,ive never been so happy to be doing exams a day i got to leave a whole hour early and theres no interventions,0
1091376953448456192,of course my train is minutes late and the train on the opposite platform is minutes early so predictable,0
183605447855587328,today gives some hope for a decent summer #bbeeaaauuuttiffuuuuuul,0
685202794408742913,i'd rather eat glass than revise right now,1
1088507422270996481,so uhh is there anywhere i can cop the flamin hot powder cuz id put that shit on everything,3
590072305977528320,mastered driving in my pyjamas without breaking down yay,0
762705298561888256,told my dad i didn't want to do anything too mental being weeks post-op y'know km mountain biking trip thanks paw #outdoordad,3
1074209694963650560,but apparently everyone who voted leave knew exactly what they were voting for,3
1089764768859209728,nydthomas beckylynchwwe but she might get to main event the biggest ppv of the year poor becky,3
675673531888312320,new to twitter looking forward to seeing what the fuss is about,0
1088083351087403009,thanks glad i spent all that time on that,4
1086545705081229313,alanwil draseemmalhotra richardhorton thelancet bjsmbmj drpascalmeier deniscampbell piersmorgan,4
1072842826784722944,so theyre just gonna hog all the awards ok alright,3
816780767938363392,a big well done to the dick that pulled out on me this evening on the fortwilliam roundabout #shitdriver #whatadick,3
433215741370716160,ebt i could throw a running vibrator on my keyboard and compose more legible messages than some of the drivel i've seen from you,3
1048327478614286336,i do enjoy working hours every friday saturday and sunday and never having a social life thanks for asking,0
1024995411663175681,is it october yet #missingsupernatural #needmyjensenfix #rollonseason,2
934071092439928832,exciting phd opportunity #field study uofglasgow uofgmvls,0
895950282038943744,in case you were wondering what i got for my birthday today tonsilitis i got tonsilitis,4
1059749655385382912,i love it when i want to do some editing and my editing suite needs updating again,3
330214160459767810,i never knew it was so bright outside at in the morning,0
1080388856426442752,been at work for minutes and im already pissed off happy new year,0
945360985501716481,is it even christmas if there isnt a fight with neighbours and a broken wrist,3
1085364164036485120,so i see the uk continues to be strong and stable,0
1030037108482879488,love getting locked out of my account,0
1082896189253713920,isnt it lovely when somebody tries to ruin your whole day and mood even before am,0
1089555368932450310,backed up the sink so that's a good start to saturday,0
1085586211991883777,i cant believe the new spider-man trailer spoiled end game i really thought marvel went to all that trouble to b,3
260057419231670273,dear debenhams - if the packaging says 'alarm clock' i assume the clock has an alarm sincerely i wasted a tube fare returning that shit,3
1090578075656613888,janecdevonshire gorillaspirits hampshirefare you might need a drop of tonic with that,5
1090853007967703040,#dearcustomer thanks mins before closing timewaster it is not like i had tons of new freight to put away so tha,3
1070593531348164608,o wondermouse run for the hills mark o have literally no data coverage in urban areas with a population of five people or more,1
1090448293451235328,popchassid probably the best way of eating ones own though,1
1057986018790596614,wish one of the many people dressed as killers were actually one n killed me,0
1068837634422833152,gosh writing research proposals are fun aren't they,2
900810189493895172,the most interesting thing i've learned during my msc is that molecular biology research is labelling things #science #microbiology,0
1068492625672630272,think i might have frostbite,1
1067749834336190464,i am shocked,0
341124146320789504,great so i have to spend all day with screaming little kids and i actually have to be nice to them #notgoodwithchildren,0
822033493186269184,wonderful getting an expensive box with meals i can't eat yay #hellofresh,3
879416328096014336,teresa may just sat in parliament like the puppet she is while damian green took over have the tories shut her up,1
614080205188108288,i'm doing the unthinkable and using python it's a sad day for java i know but really python - elif was writing elseif too much fuss,4
1091769017893834757,paul ince probably believes he could win the league with huddersfield,1
